freq,imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.2 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.4 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.6 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.8 ))
240.1E3,-47.33E-15,-49.58E-15,-60.13E-15,-62.96E-15
241.1E3,-47.53E-15,-49.78E-15,-60.38E-15,-63.22E-15
242.1E3,-47.73E-15,-49.99E-15,-60.63E-15,-63.48E-15
243.1E3,-47.92E-15,-50.20E-15,-60.88E-15,-63.74E-15
244.1E3,-48.12E-15,-50.40E-15,-61.13E-15,-64.01E-15
245.1E3,-48.32E-15,-50.61E-15,-61.38E-15,-64.27E-15
246.1E3,-48.52E-15,-50.82E-15,-61.63E-15,-64.53E-15
247.1E3,-48.71E-15,-51.02E-15,-61.88E-15,-64.79E-15
248.1E3,-48.91E-15,-51.23E-15,-62.13E-15,-65.06E-15
249.1E3,-49.11E-15,-51.44E-15,-62.38E-15,-65.32E-15
250.1E3,-49.30E-15,-51.64E-15,-62.63E-15,-65.58E-15
251.1E3,-49.50E-15,-51.85E-15,-62.88E-15,-65.84E-15
252.1E3,-49.70E-15,-52.06E-15,-63.13E-15,-66.10E-15
253.1E3,-49.90E-15,-52.26E-15,-63.38E-15,-66.37E-15
254.1E3,-50.09E-15,-52.47E-15,-63.63E-15,-66.63E-15
255.1E3,-50.29E-15,-52.68E-15,-63.88E-15,-66.89E-15
256.1E3,-50.49E-15,-52.88E-15,-64.13E-15,-67.15E-15
257.1E3,-50.68E-15,-53.09E-15,-64.38E-15,-67.42E-15
258.1E3,-50.88E-15,-53.29E-15,-64.64E-15,-67.68E-15
259.1E3,-51.08E-15,-53.50E-15,-64.89E-15,-67.94E-15
260.1E3,-51.28E-15,-53.71E-15,-65.14E-15,-68.20E-15
261.1E3,-51.47E-15,-53.91E-15,-65.39E-15,-68.46E-15
262.1E3,-51.67E-15,-54.12E-15,-65.64E-15,-68.73E-15
263.1E3,-51.87E-15,-54.33E-15,-65.89E-15,-68.99E-15
264.1E3,-52.06E-15,-54.53E-15,-66.14E-15,-69.25E-15
265.1E3,-52.26E-15,-54.74E-15,-66.39E-15,-69.51E-15
266.1E3,-52.46E-15,-54.95E-15,-66.64E-15,-69.78E-15
267.1E3,-52.66E-15,-55.15E-15,-66.89E-15,-70.04E-15
268.1E3,-52.85E-15,-55.36E-15,-67.14E-15,-70.30E-15
269.1E3,-53.05E-15,-55.57E-15,-67.39E-15,-70.56E-15
270.1E3,-53.25E-15,-55.77E-15,-67.64E-15,-70.82E-15
271.1E3,-53.44E-15,-55.98E-15,-67.89E-15,-71.09E-15
272.1E3,-53.64E-15,-56.19E-15,-68.14E-15,-71.35E-15
273.1E3,-53.84E-15,-56.39E-15,-68.39E-15,-71.61E-15
274.1E3,-54.04E-15,-56.60E-15,-68.64E-15,-71.87E-15
275.1E3,-54.23E-15,-56.81E-15,-68.89E-15,-72.14E-15
276.1E3,-54.43E-15,-57.01E-15,-69.14E-15,-72.40E-15
277.1E3,-54.63E-15,-57.22E-15,-69.39E-15,-72.66E-15
278.1E3,-54.82E-15,-57.42E-15,-69.64E-15,-72.92E-15
279.1E3,-55.02E-15,-57.63E-15,-69.89E-15,-73.18E-15
280.1E3,-55.22E-15,-57.84E-15,-70.14E-15,-73.45E-15
281.1E3,-55.41E-15,-58.04E-15,-70.40E-15,-73.71E-15
282.1E3,-55.61E-15,-58.25E-15,-70.65E-15,-73.97E-15
283.1E3,-55.81E-15,-58.46E-15,-70.90E-15,-74.23E-15
284.1E3,-56.01E-15,-58.66E-15,-71.15E-15,-74.50E-15
285.1E3,-56.20E-15,-58.87E-15,-71.40E-15,-74.76E-15
286.1E3,-56.40E-15,-59.08E-15,-71.65E-15,-75.02E-15
287.1E3,-56.60E-15,-59.28E-15,-71.90E-15,-75.28E-15
288.1E3,-56.79E-15,-59.49E-15,-72.15E-15,-75.54E-15
289.1E3,-56.99E-15,-59.70E-15,-72.40E-15,-75.81E-15
290.1E3,-57.19E-15,-59.90E-15,-72.65E-15,-76.07E-15
291.1E3,-57.39E-15,-60.11E-15,-72.90E-15,-76.33E-15
292.1E3,-57.58E-15,-60.32E-15,-73.15E-15,-76.59E-15
293.1E3,-57.78E-15,-60.52E-15,-73.40E-15,-76.86E-15
294.1E3,-57.98E-15,-60.73E-15,-73.65E-15,-77.12E-15
295.1E3,-58.17E-15,-60.93E-15,-73.90E-15,-77.38E-15
296.1E3,-58.37E-15,-61.14E-15,-74.15E-15,-77.64E-15
297.1E3,-58.57E-15,-61.35E-15,-74.40E-15,-77.90E-15
298.1E3,-58.77E-15,-61.55E-15,-74.65E-15,-78.17E-15
299.1E3,-58.96E-15,-61.76E-15,-74.90E-15,-78.43E-15
300.1E3,-59.16E-15,-61.97E-15,-75.15E-15,-78.69E-15
301.1E3,-59.36E-15,-62.17E-15,-75.40E-15,-78.95E-15
302.1E3,-59.55E-15,-62.38E-15,-75.65E-15,-79.22E-15
303.1E3,-59.75E-15,-62.59E-15,-75.90E-15,-79.48E-15
304.1E3,-59.95E-15,-62.79E-15,-76.16E-15,-79.74E-15
305.1E3,-60.15E-15,-63.00E-15,-76.41E-15,-80.00E-15
306.1E3,-60.34E-15,-63.21E-15,-76.66E-15,-80.26E-15
307.1E3,-60.54E-15,-63.41E-15,-76.91E-15,-80.53E-15
308.1E3,-60.74E-15,-63.62E-15,-77.16E-15,-80.79E-15
309.1E3,-60.93E-15,-63.83E-15,-77.41E-15,-81.05E-15
310.1E3,-61.13E-15,-64.03E-15,-77.66E-15,-81.31E-15
311.1E3,-61.33E-15,-64.24E-15,-77.91E-15,-81.58E-15
312.1E3,-61.53E-15,-64.45E-15,-78.16E-15,-81.84E-15
313.1E3,-61.72E-15,-64.65E-15,-78.41E-15,-82.10E-15
314.1E3,-61.92E-15,-64.86E-15,-78.66E-15,-82.36E-15
315.1E3,-62.12E-15,-65.06E-15,-78.91E-15,-82.62E-15
316.1E3,-62.31E-15,-65.27E-15,-79.16E-15,-82.89E-15
317.1E3,-62.51E-15,-65.48E-15,-79.41E-15,-83.15E-15
318.1E3,-62.71E-15,-65.68E-15,-79.66E-15,-83.41E-15
319.1E3,-62.91E-15,-65.89E-15,-79.91E-15,-83.67E-15
320.1E3,-63.10E-15,-66.10E-15,-80.16E-15,-83.94E-15
321.1E3,-63.30E-15,-66.30E-15,-80.41E-15,-84.20E-15
322.1E3,-63.50E-15,-66.51E-15,-80.66E-15,-84.46E-15
323.1E3,-63.69E-15,-66.72E-15,-80.91E-15,-84.72E-15
324.1E3,-63.89E-15,-66.92E-15,-81.16E-15,-84.98E-15
325.1E3,-64.09E-15,-67.13E-15,-81.41E-15,-85.25E-15
326.1E3,-64.29E-15,-67.34E-15,-81.66E-15,-85.51E-15
327.1E3,-64.48E-15,-67.54E-15,-81.91E-15,-85.77E-15
328.1E3,-64.68E-15,-67.75E-15,-82.17E-15,-86.03E-15
329.1E3,-64.88E-15,-67.96E-15,-82.42E-15,-86.30E-15
330.1E3,-65.07E-15,-68.16E-15,-82.67E-15,-86.56E-15
331.1E3,-65.27E-15,-68.37E-15,-82.92E-15,-86.82E-15
332.1E3,-65.47E-15,-68.57E-15,-83.17E-15,-87.08E-15
333.1E3,-65.67E-15,-68.78E-15,-83.42E-15,-87.34E-15
334.1E3,-65.86E-15,-68.99E-15,-83.67E-15,-87.61E-15
335.1E3,-66.06E-15,-69.19E-15,-83.92E-15,-87.87E-15
