freq,imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))*1m)
176.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
177.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
178.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
179.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
180.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
181.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
182.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
183.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
184.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
185.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
186.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
187.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
188.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
189.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
190.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
191.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
192.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
193.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
194.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
195.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
